# Frames, # Reads, # Writes, # Page Faults, Algorithm
10,1051,619,1670,sort
20,816,520,1336,sort
30,711,465,1177,sort
40,573,392,972,sort
50,498,347,856,sort
60,438,309,768,sort
70,352,244,628,sort
80,253,162,461,sort
90,171,77,323,sort
100,100,0,200,sort
10,1100,100,1200,scan
20,1095,100,1195,scan
30,1065,100,1165,scan
40,995,100,1095,scan
50,887,100,987,scan
60,773,100,873,scan
70,637,100,737,scan
80,464,100,564,scan
90,290,84,390,scan
100,100,0,200,scan
10,293,194,487,focus
20,284,187,471,focus
30,259,170,430,focus
40,240,154,400,focus
50,226,137,377,focus
60,202,118,339,focus
70,184,100,317,focus
80,154,68,278,focus
90,125,34,236,focus
100,100,0,200,focus
